Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.695,-82.365,180.0,top
C2,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.0,-83.5,0.0,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,163.06,-92.4275,-90.0,top
C4,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.06,-92.4275,-90.0,top
C5,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,158.0,-78.0,0.0,top
C6,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.0,-80.0,0.0,top
C7,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.0,-88.0,0.0,top
C8,4.7uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,135.25,-78.5,180.0,top
C9,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,92.075,-77.7125,-90.0,top
C10,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.0,-80.0,90.0,top
C11,4.7uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,163.75,-76.75,90.0,top
C12,4.7uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,167.75,-76.75,90.0,top
C13,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,155.3625,-66.75,180.0,top
C14,100nF 50V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.4,-84.8625,-90.0,top
C15,10nF 50V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.2,-84.8625,-90.0,top
C16,10uF 50V,CP_Elec_5x5.4,119.6,-87.4,-90.0,top
C17,10uF 50V,CP_Elec_5x5.4,112.2,-90.8,-90.0,top
C18,10uF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.11,-86.81,-90.0,top
C19,10uF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.14,-85.8,-90.0,top
C21,10nF 50V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,95.37,-86.51,-90.0,top
C22,10nF 50V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.03,-92.81,-90.0,top
J1,JST-B2B-PH-0JLC,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,178.95,-58.1,180.0,top
J2,JST-B2B-PH-0JLC,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,168.95,-58.1,180.0,top
J3,JST-B2B-PH-0JLC,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,158.95,-58.1,180.0,top
J4,JST-B2B-PH-0JLC,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,148.95,-58.1,180.0,top
J5,JST-B2B-PH-0JLC,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,138.95,-58.1,180.0,top
J6,JST-B2B-PH-0JLC,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,128.95,-58.1,180.0,top
J7,JST-B2B-PH-0JLC,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,118.95,-58.1,180.0,top
J8,JST-B2B-PH-0JLC,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,108.95,-58.1,180.0,top
J9,JST-B2B-PH-0JLC,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,98.95,-58.1,180.0,top
J10,JST-B2B-PH-0JLC,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,88.95,-58.1,180.0,top
J11,Conn_01x05_Pin,PinHeader_1x05_P2.54mm_Vertical,134.25,-88.075,0.0,bottom
J12,MMCX,MMCX_JLC,110.13,-75.13,0.0,top
J13,MMCX,MMCX_JLC,119.87,-71.73,0.0,top
J14,MMCX,MMCX_JLC,102.37,-81.13,0.0,top
L1,6.8uF,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,135.25,-75.5,0.0,top
L2,6.8uF,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,165.25,-81.75,0.0,top
L3,L_Ferrite,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.3,-65.425,-90.0,top
L4,6.8uF,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,115.0,-80.0,-90.0,top
PS1,B0305S-1WR2,Converter_DCDC_Murata_CRE1xxxxxx3C_THT,148.0,-79.0,90.0,top
PS2,B0512S-1WR3,Converter_DCDC_Murata_CRE1xxxxxx3C_THT,155.25,-72.0,-90.0,top
Q1,BC847C,SOT-23,126.4,-91.6,0.0,top
R1,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.7125,-79.145699,180.0,top
R2,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.7125,-82.145699,180.0,top
R3,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,96.525,-73.125,90.0,top
R4,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,99.475,-73.1125,90.0,top
R5,4.7K 75V,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,126.2875,-86.6,180.0,top
R6,15.4K 1%,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,90.68,-86.5,90.0,top
R7,115K 1%,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,93.58,-86.46,-90.0,top
U1,BH2221FV,SSOP-20_4.4x6.5mm_P0.65mm,168.5,-87.5,0.0,top
U2,pi141x3x,SOIC-16_3.9x9.9mm_P1.27mm,148.0,-90.0,0.0,top
U3,~,SOT-23-5,158.3675,-83.95,0.0,top
U4,OPA2188AIDR,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,95.4445,-79.458,0.0,top
U6,TPS7A4910DGNR,DGN8_1P89X1P57,95.14,-90.45,0.0,top
